---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 HS 11-2  2.267e+02  [-120 9.136e-07 8.922e-10 1.058e-04]  [119 0 23]
---------------------------------------------------------------------
 HS 12-1  2.289e+02  [0 1.000e+00 4.883e-04 9.417e-07]  [165 -1 32]
 HS 12-2  2.307e+02  [-120 9.417e-07 4.598e-10 2.429e-04]  [101 0 21]
 HS 12-1  2.327e+02  [0 1.000e+00 4.883e-04 9.775e-07]  [161 -1 30]
 HS 12-2  2.346e+02  [-120 9.775e-07 4.773e-10 4.419e-04]  [92 0 18]
 HS 12-1  2.365e+02  [0 1.000e+00 4.883e-04 9.314e-07]  [163 -1 28]
 HS 12-2  2.381e+02  [-120 9.314e-07 4.548e-10 4.560e-04]  [93 0 20]
 HS 12-1  2.408e+02  [0 1.000e+00 4.883e-04 9.919e-07]  [406 0 54]
 HS 12-2  2.430e+02  [-120 9.919e-07 4.843e-10 3.777e-04]  [242 0 40]
 HS 12-1  2.451e+02  [0 1.000e+00 4.883e-04 9.136e-07]  [160 -1 27]
 HS 12-2  2.468e+02  [-120 9.136e-07 4.461e-10 2.034e-04]  [110 0 23]
---------------------------------------------------------------------
 HS 13-1  2.487e+02  [0 1.000e+00 2.441e-04 9.380e-07]  [165 -1 32]
 HS 13-2  2.503e+02  [-120 9.380e-07 2.290e-10 4.757e-04]  [92 0 20]
 HS 13-1  2.522e+02  [0 1.000e+00 2.441e-04 9.800e-07]  [161 -1 31]
 HS 13-2  2.538e+02  [-120 9.800e-07 2.393e-10 8.303e-04]  [85 0 19]
 HS 13-1  2.558e+02  [0 1.000e+00 2.441e-04 9.333e-07]  [163 -1 30]
 HS 13-2  2.574e+02  [-120 9.333e-07 2.279e-10 9.394e-04]  [85 0 19]
 HS 13-1  2.601e+02  [0 1.000e+00 2.441e-04 9.728e-07]  [407 0 53]
 HS 13-2  2.622e+02  [-120 9.728e-07 2.375e-10 7.992e-04]  [221 0 37]
 HS 13-1  2.641e+02  [0 1.000e+00 2.441e-04 9.136e-07]  [160 -1 29]
 HS 13-2  2.657e+02  [-120 9.136e-07 2.231e-10 4.237e-04]  [100 0 22]
---------------------------------------------------------------------
 HS 14-1  2.677e+02  [0 1.000e+00 1.221e-04 9.187e-07]  [165 -1 33]
 HS 14-2  2.693e+02  [-120 9.187e-07 1.122e-10 9.684e-04]  [83 0 18]
 HS 14-1  2.712e+02  [0 1.000e+00 1.221e-04 9.800e-07]  [161 -1 30]
 HS 14-2  2.727e+02  [-120 9.800e-07 1.196e-10 1.765e-03]  [77 0 18]
 HS 14-1  2.748e+02  [0 1.000e+00 1.221e-04 9.358e-07]  [163 -1 30]
 HS 14-2  2.764e+02  [-120 9.358e-07 1.142e-10 1.855e-03]  [77 0 17]
 HS 14-1  2.791e+02  [0 1.000e+00 1.221e-04 9.954e-07]  [406 0 53]
 HS 14-2  2.812e+02  [-120 9.954e-07 1.215e-10 1.556e-03]  [202 0 37]
 HS 14-1  2.831e+02  [0 1.000e+00 1.221e-04 9.136e-07]  [160 -1 31]
 HS 14-2  2.847e+02  [-120 9.136e-07 1.115e-10 8.323e-04]  [89 0 20]
---------------------------------------------------------------------
 HS 15-1  2.866e+02  [0 1.000e+00 6.104e-05 9.421e-07]  [165 -1 32]
 HS 15-2  2.882e+02  [-120 9.421e-07 5.750e-11 1.920e-03]  [75 0 17]
 HS 15-1  2.901e+02  [0 1.000e+00 6.104e-05 9.783e-07]  [161 -1 31]
 HS 15-2  2.916e+02  [-120 9.783e-07 5.971e-11 3.450e-03]  [70 0 16]
 HS 15-1  2.935e+02  [0 1.000e+00 6.104e-05 9.378e-07]  [163 -1 31]
 HS 15-2  2.951e+02  [-120 9.378e-07 5.724e-11 3.662e-03]  [70 0 16]
 HS 15-1  2.979e+02  [0 1.000e+00 6.104e-05 9.950e-07]  [406 0 53]
 HS 15-2  2.998e+02  [-120 9.950e-07 6.073e-11 3.098e-03]  [175 0 32]
 HS 15-1  3.019e+02  [0 1.000e+00 6.104e-05 9.136e-07]  [160 -1 27]
 HS 15-2  3.037e+02  [-120 9.136e-07 5.576e-11 1.642e-03]  [79 0 15]
---------------------------------------------------------------------
 HS 16-1  3.055e+02  [0 1.000e+00 3.052e-05 9.208e-07]  [165 -1 32]
 HS 16-2  3.071e+02  [-120 9.208e-07 2.810e-11 3.772e-03]  [68 0 15]
 HS 16-1  3.090e+02  [0 1.000e+00 3.052e-05 9.779e-07]  [161 -1 29]
 HS 16-2  3.105e+02  [-120 9.779e-07 2.984e-11 6.939e-03]  [62 0 15]
 HS 16-1  3.124e+02  [0 1.000e+00 3.052e-05 9.368e-07]  [163 0 30]
 HS 16-2  3.140e+02  [-120 9.368e-07 2.859e-11 7.551e-03]  [62 0 16]
 HS 16-1  3.166e+02  [0 1.000e+00 3.052e-05 9.995e-07]  [406 0 51]
 HS 16-2  3.185e+02  [-120 9.995e-07 3.050e-11 6.202e-03]  [152 0 31]
 HS 16-1  3.204e+02  [0 1.000e+00 3.052e-05 9.136e-07]  [160 -1 29]
 HS 16-2  3.219e+02  [-120 9.136e-07 2.788e-11 3.171e-03]  [71 0 16]
---------------------------------------------------------------------
 HS 17-1  3.238e+02  [0 1.000e+00 1.526e-05 9.405e-07]  [165 0 32]
 HS 17-2  3.254e+02  [-120 9.405e-07 1.435e-11 7.494e-03]  [60 0 14]
 HS 17-1  3.272e+02  [0 1.000e+00 1.526e-05 9.783e-07]  [161 0 29]
 HS 17-2  3.286e+02  [-120 9.783e-07 1.493e-11 1.339e-02]  [53 0 12]
 HS 17-1  3.306e+02  [0 1.000e+00 1.526e-05 9.349e-07]  [163 0 32]
 HS 17-2  3.323e+02  [-120 9.349e-07 1.426e-11 1.436e-02]  [54 0 12]
 HS 17-1  3.350e+02  [0 1.000e+00 1.526e-05 9.753e-07]  [407 0 53]
 HS 17-2  3.369e+02  [-120 9.753e-07 1.488e-11 1.239e-02]  [140 0 30]
 HS 17-1  3.387e+02  [0 1.000e+00 1.526e-05 9.136e-07]  [160 -1 30]
 HS 17-2  3.402e+02  [-120 9.136e-07 1.394e-11 6.570e-03]  [63 0 14]
---------------------------------------------------------------------
 HS 18-1  3.421e+02  [0 1.000e+00 7.629e-06 9.382e-07]  [165 0 30]
 HS 18-2  3.436e+02  [-120 9.382e-07 7.158e-12 1.554e-02]  [52 0 12]
 HS 18-1  3.455e+02  [0 1.000e+00 7.629e-06 9.778e-07]  [161 0 30]
 HS 18-2  3.470e+02  [-120 9.778e-07 7.460e-12 2.718e-02]  [44 0 11]
 HS 18-1  3.489e+02  [0 1.000e+00 7.629e-06 9.448e-07]  [163 0 31]
 HS 18-2  3.503e+02  [-120 9.448e-07 7.208e-12 3.029e-02]  [45 0 13]
 HS 18-1  3.531e+02  [0 1.000e+00 7.629e-06 9.942e-07]  [406 0 52]
 HS 18-2  3.549e+02  [-120 9.942e-07 7.585e-12 2.466e-02]  [127 0 26]
 HS 18-1  3.567e+02  [0 1.000e+00 7.629e-06 9.137e-07]  [160 0 30]
 HS 18-2  3.582e+02  [-120 9.137e-07 6.971e-12 1.266e-02]  [56 0 14]
---------------------------------------------------------------------
 HS 19-1  3.601e+02  [0 1.000e+00 3.815e-06 9.412e-07]  [165 0 31]
 HS 19-2  3.616e+02  [-120 9.412e-07 3.590e-12 2.893e-02]  [45 0 11]
 HS 19-1  3.635e+02  [0 1.000e+00 3.815e-06 9.782e-07]  [161 0 30]
 HS 19-2  3.649e+02  [-120 9.782e-07 3.732e-12 5.432e-02]  [36 0 9]
 HS 19-1  3.667e+02  [0 1.000e+00 3.815e-06 9.468e-07]  [163 0 31]
 HS 19-2  3.681e+02  [-120 9.468e-07 3.612e-12 5.872e-02]  [38 0 9]
 HS 19-1  3.709e+02  [0 1.000e+00 3.815e-06 9.729e-07]  [407 0 52]
 HS 19-2  3.725e+02  [-120 9.729e-07 3.711e-12 5.112e-02]  [108 0 23]
 HS 19-1  3.744e+02  [0 1.000e+00 3.815e-06 9.137e-07]  [160 0 30]
 HS 19-2  3.759e+02  [-120 9.137e-07 3.486e-12 2.678e-02]  [47 0 13]
---------------------------------------------------------------------
 HS 20-1  3.778e+02  [0 1.000e+00 1.907e-06 9.409e-07]  [165 0 31]
 HS 20-2  3.794e+02  [-120 9.409e-07 1.795e-12 6.089e-02]  [36 0 7]
 HS 20-1  3.813e+02  [0 1.000e+00 1.907e-06 9.786e-07]  [161 0 30]
 HS 20-2  3.827e+02  [-120 9.786e-07 1.866e-12 1.110e-01]  [27 0 6]
 HS 20-1  3.846e+02  [0 1.000e+00 1.907e-06 9.500e-07]  [163 0 32]
 HS 20-2  3.860e+02  [-120 9.500e-07 1.812e-12 1.211e-01]  [29 0 7]
 HS 20-1  3.889e+02  [0 1.000e+00 1.907e-06 9.801e-07]  [407 0 48]
 HS 20-2  3.905e+02  [-120 9.801e-07 1.869e-12 1.003e-01]  [85 0 19]
 HS 20-1  3.924e+02  [0 1.000e+00 1.907e-06 9.138e-07]  [160 0 31]
 HS 20-2s 3.938e+02  [-120 9.138e-07 1.743e-12 5.079e-02]  [40 0 10]
